id,region,capital,lat,lon,to_spb,fo_rf
86,Ханты-Мансийский,Ханты-Мансийск,61.0034448,69.0190006,2100.207228835237,УрФО
87,Чукотский,Анадырь,64.7316875,177.5060925,5906.223272695671,ДФО
89,Ямало-Ненецкий,Салехард,66.5375387,66.6157469,1932.0081857319735,УрФО
90,Запорожская,Запорожье,47.8507859,35.1182867,1380.290778036899,ЮФО
91,Крым,Симферополь,44.9521459,34.1024858,1686.0095914185708,ЮФО
92,Севастополь,Севастополь,44.5655503,33.45959860374677,1722.8668930497972,ЮФО
93,Донецкая,Донецк,48.0158753,37.8013407,1411.9964079607882,ЮФО
94,Луганская,Луганск,48.5717084,39.2973153,1390.2268053947023,ЮФО
95,Херсонская,Херсон,46.6401295,32.6143922,1487.0732644291988,ЮФО
96,Байконур,Байконур,45.917893199999995,63.40837213703634,2671.8004626636425,ЦФО
0,Не указано,,,,,
1000,Вне РФ,,,,,
